id_pracownika,imie,nazwisko,pesel,stanowisko,poziom_dostepu,aktywny,id_dzialu
1,Victor,Medina,16764678467,System Administrator,1,tak,3
2,Mikkel,Small,14336238161,Law Advisor,6,tak,6
3,Kianna,Eschino,68381758827,Chief Accountant,8,tak,4
4,Lakota,Creel,76575245427,Network Administrator,1,tak,2
5,Matthew,Range,49259952653,Customer Relationships Manager,2,tak,4
6,Brittany,Goheen,68158787388,System Administrator,5,tak,6
7,Thomas,Lane,34871722173,Data Base Administrator,10,tak,3
8,Anjunea,Cook,16298171468,Law Advisor,4,tak,3
9,George,Garcia,48525763732,System Administrator,10,tak,2
10,Ashley,Cotonuts,94953299856,Law Advisor,10,tak,3
11,Jacob,Anderson,66588252423,Key Account Manager,8,tak,4
12,Mawhiba,al-Hares,34174944465,Supply Chain Manager,5,tak,6
13,Jordan,Webster-Jarnigan,45663577974,CIO,6,tak,4
14,Scott,Sanders,76384248736,Key Account Manager,3,tak,1
15,Rosalyn,Casalini,58845393244,HR specialist,4,tak,4
16,Kevin,Vierra,23396743748,Tax Specialist,5,tak,6
17,Kaldurion,Holmes Jr,72491129434,System Administrator,2,tak,2
18,Shianne,Lockman,94618453817,Supply Chain Manager,10,tak,5
19,Stephen,Mitchell,33715859471,Health and Safety Inspector,6,tak,1
20,Melanie,Ware,39455722662,Health and Safety Inspector,8,tak,2
21,Yuna,Broker,18876131537,System Administrator,5,tak,6
22,Tylor,Hildebrand,99126522711,Supply Chain Manager,6,tak,4
23,Emmitt,Han,49375111468,System Administrator,2,tak,6
24,Kiara,Taylor,95337264119,Tax Specialist,5,tak,3
25,Kadijah,Thomas,73344579873,Customer Relationships Manager,9,tak,6
26,Gabriela,Benavidez,81183959676,Data Base Administrator,7,tak,3
27,Shikoni,Thompson,49715422776,Key Account Manager,10,tak,5
28,Jawhar,el-Sharif,82334647927,Network Administrator,6,tak,2
29,Allison,Gardea,56236183639,System Administrator,10,tak,5
30,Julian,Hopkins,91588259189,Law Advisor,3,tak,1
31,Dylan,Trogdon,34854574667,Supply Chain Manager,7,nie,3
32,Farha,al-Moradi,98781425498,Chief Accountant,9,tak,1
33,Torry,Estes,59515988841,CIO,7,tak,5
34,Asia,Mitchell Williams,31424299551,Customer Relationships Manager,8,nie,4
35,Alondra,Pino,47473536588,CIO,8,tak,3
36,Michael,Bateman,36369522726,Law Advisor,8,tak,4
37,Caleb,Rustemeyer,46666421227,Data Base Administrator,1,tak,2
38,Brittanyclaire,Riley,91744891359,System Administrator,9,nie,6
39,Tyler,Meardon,91348762133,Data Base Administrator,2,tak,6
40,Dagnachew,Smith,25477983658,CIO,3,tak,4
41,River,Fields II,57382521964,Webmaster,8,tak,4
42,Nadiyya,el-Saah,37941985617,Network Administrator,3,tak,4
43,Sana,Kapule,29134151223,Tax Specialist,2,tak,1
44,Hayden,Stevenson,28821932541,Key Account Manager,2,tak,4
45,Amy,Mam,65517293798,Key Account Manager,7,tak,5
46,Madeline,Dahms,51498438733,Health and Safety Inspector,6,tak,4
47,Madison,Boehler,82644546146,HR specialist,1,tak,4
48,Taylor,Brown,46614349454,Webmaster,1,tak,6
49,Tyra,Hardin,91295172246,CIO,2,tak,4
50,Rowtinya,Matheson,35387858888,Key Account Manager,9,tak,4
51,Kristian,Purewal,64556379936,System Administrator,9,nie,4
52,Ryan,Lawrence,19456136693,Webmaster,2,tak,2
53,Jalen,Jones,26156224774,CIO,2,tak,3
54,Kiana,Morales,14777726539,Data Base Administrator,9,tak,6
55,Joshua,Miramontes-Granillo,31953749286,Chief Accountant,9,tak,5
56,Matthew,Gardner,57571112323,Health and Safety Inspector,10,tak,6
57,Ayana,Richardson,47252936115,Customer Relationships Manager,5,tak,6
58,Britney,Newton,25914395697,CIO,6,tak,6
59,Kellsie,Apodaca,79462964597,Chief Accountant,2,tak,5
60,Sunsiarae,Musselman,83331127175,Law Advisor,3,tak,2
61,Zaaid,el-Shaer,74333665263,Health and Safety Inspector,10,tak,6
62,Neil,Seth,55799454828,Network Administrator,1,tak,2
63,Nicole,Wonnacott,74784254426,CIO,4,tak,1
64,Aamina,al-Ghaffari,75221161798,Network Administrator,9,tak,3
65,Regina,Smith,19142185457,System Administrator,9,tak,2
66,Jarnell,Lee,68892733738,Supply Chain Manager,1,tak,6
67,Mark,Sainz,84285999338,Supply Chain Manager,10,tak,5
68,Da Ham,Harris,57212177939,CIO,3,tak,5
69,Tian,Vang,87674946548,Customer Relationships Manager,2,tak,2
70,Jesse,Stott,18422369392,Tax Specialist,6,tak,3
71,Devante,Lohr,37429149867,Data Base Administrator,10,tak,2
72,Zeena,al-Khalili,54638393893,Tax Specialist,10,tak,5
73,Raylene,Aguilar-Quintana,56495731914,Law Advisor,10,tak,4
74,Maurice,John-Baptiste,82946279883,Data Base Administrator,2,tak,6
75,Clay,Kamara,44411599762,Webmaster,4,tak,1
76,Johanne,Richardson,34595136948,Webmaster,6,tak,1
77,Sean,Zahid,86681731646,HR specialist,6,tak,1
78,Celena,Rodriguez,16754675615,Law Advisor,9,tak,1
79,Lee,Nguyen,25119553297,HR specialist,7,tak,5
80,Ekaterina,Davis,63985536149,Chief Accountant,5,tak,5
81,Tiara,Brown,16741882722,Data Base Administrator,2,tak,1
82,Alaina,Liles,26913777999,Key Account Manager,9,tak,2
83,Kaalim,el-Ameen,37576824654,Tax Specialist,3,tak,4
84,Ashley,Washington,41716557631,Data Base Administrator,9,tak,5
85,Megan,Yoo,17523879435,CIO,4,tak,6
86,Dillon,Sharp,29254343597,Chief Accountant,2,tak,4
87,Shaheed,el-Mahmoud,24339548878,Supply Chain Manager,6,tak,4
88,Lakota,Wallace,66952625651,Chief Accountant,10,tak,6
89,Shan,Christensen,18772355938,Key Account Manager,2,tak,4
90,Darryl,Crawford,16994354796,Health and Safety Inspector,2,tak,2
91,Julian,Browning,58738184357,Key Account Manager,10,tak,6
92,Joshua,Jones,37194971466,Customer Relationships Manager,3,tak,4
93,Jalynn,Matthews,66323136435,Chief Accountant,7,tak,6
94,Marjaana,el-Hussain,12477158767,Data Base Administrator,10,tak,5
95,Kevin,Kim,98164258359,Webmaster,4,nie,1
96,Kendra,Mock,35383981347,Key Account Manager,5,tak,1
97,Ashton,Hasegawa,32723179145,Key Account Manager,4,nie,1
98,Jazmine,Collins,15135814498,System Administrator,5,tak,2
99,Jose,Vigil,25842342116,CIO,2,tak,6
100,Cristian,Arguello,49747313635,Data Base Administrator,9,tak,4
101,Quinn,Giles,44644988984,System Administrator,8,nie,5
102,Marcus,Mayes,92998896968,Law Advisor,4,tak,4
103,Latisha,Tello,46193675517,Webmaster,3,tak,5
104,Talaal,al-Radwan,84514359563,Webmaster,1,tak,5
105,Tia,Robinson,71777315551,Tax Specialist,10,nie,5
106,Britney,Galicia Hernandez,76911557512,Customer Relationships Manager,10,tak,3
107,Kiarra,White,24163748942,Health and Safety Inspector,1,tak,2
108,Candice,Maestas,23963635689,Key Account Manager,8,tak,3
